M_fit_Q1,y_fit_Q1,M_fit_Q2,y_fit_Q2,M_fit_Q3,y_fit_Q3,M_fit_Q4,y_fit_Q4
27838.064326068623,151.3939619179716,27838.047716463203,149.87048580773256,27837.943943573493,151.0828522637362,27837.870830344407,150.3107870794866
27933.222895146428,151.64830215567994,27933.20509355871,150.12246927957844,27933.10194703847,151.3377267647234,27933.028423783562,150.56373525336156
28028.38146422423,151.90211925900252,28028.362470654218,150.37393904046016,28028.25995050345,151.59210083251702,28028.186017222713,150.81617276054112
28123.54003330204,152.15541420074968,28123.519847749725,150.62489611555938,28123.417953968423,151.8459757621003,28123.343610661865,151.06810069749955
28218.69860237984,152.40818792019135,28218.67722484523,150.87534149755288,28218.5759574334,152.0993528186501,28218.501204101016,151.31952012887874
28313.85717145764,152.66044132317137,28313.834601940736,151.12527614673033,28313.73396089837,152.35223323767477,28313.65879754017,151.57043208761124
28409.015740535444,152.91217528221887,28408.991979036244,151.3747009911084,28408.891964363356,152.60461822514918,28408.816390979322,151.82083757503983
28504.17430961325,153.16339063665575,28504.149356131747,151.62361692654193,28504.04996782833,152.8565089576455,28503.973984418473,152.0707375610337
28599.33287869105,153.41408819270123,28599.30673322725,151.8720248168313,28599.207971293305,153.10790658246108,28599.131577857625,152.32013298410112
28694.49144776885,153.66426872357275,28694.46411032276,152.11992549382717,28694.36597475828,153.35881221774287,28694.289171296776,152.56902475149897
28789.65001684665,153.91393296958444,28789.62148741827,152.36731975753133,28789.523978223257,153.60922695260857,28789.44676473593,152.81741373933912
28884.80858592446,154.1630816382413,28884.778864513773,152.61420837619517,28884.681981688234,153.8591518472644,28884.604358175082,153.06530079269157
28979.967155002265,154.41171540433157,28979.93624160928,152.86059208641453,28979.83998515321,154.10858793312016,28979.761951614233,153.31268672568453
29075.125724080062,154.65983491001546,29075.09361870479,153.10647159322184,29074.997988618183,154.35753621290067,29074.919545053384,153.55957232160165
29170.28429315787,154.90744076491106,29170.250995800296,153.3518475701755,29170.155992083164,154.60599766075458,29170.07713849254,153.8059583329759
29265.44286223567,155.15453354617736,29265.4083728958,153.5967206594461,29265.31399554814,154.85397322236,29265.23473193169,154.0518454816812
29360.60143131348,155.40111379859488,29360.565749991307,153.84109147190026,29360.47199901312,155.10146381502747,29360.39232537084,154.2972344590206
29455.76000039128,155.64718203464298,29455.72312708681,154.08496058718097,29455.63000247809,155.34847032779967,29455.549918809993,154.54212592581206
29550.91856946908,155.89273873457512,29550.88050418232,154.32832855378652,29550.788005943068,155.59499362154887,29550.707512249144,154.78652051247153
29646.077138546887,156.13778434649112,29646.037881277825,154.57119588914554,29645.94600940805,155.84103452907104,29645.8651056883,155.03041881909314
29741.235707624688,156.38231928640695,29741.195258373333,154.81356307969045,29741.10401287302,156.08659385517785,29741.02269912745,155.27382141552712
29836.394276702493,156.62634393832246,29836.35263546884,155.05543058092775,29836.262016338,156.33167237678566,29836.1802925666,155.51672884145484
29931.552845780298,156.869858654286,29931.510012564344,155.29679881750656,29931.420019802976,156.57627084300205,29931.337886005753,155.75914160646178
30026.7114148581,157.11286375445724,30026.66738965985,155.53766818328407,30026.57802326795,156.8203899752099,30026.495479444908,156.00106019010778
30121.869983935903,157.35535952716765,30121.82476675536,155.77803904138935,30121.736026732928,157.0640304671488,30121.65307288406,156.24248504199497
30217.028553013704,157.5973462289784,30216.982143850862,156.01791172428435,30216.894030197906,157.30719298499432,30216.81066632321,156.4834165818336
30312.18712209151,157.8388240847365,30312.13952094637,156.25728653382308,30312.05203366288,157.54987816743457,30311.96825976236,156.72385519950524
